,About the Creative City,Added Value
73,"About the Creative City: Since the 19th century, Barcelona, a city of 1.6 million inhabitants, has been universally recognised as a publishing centre for Spanish, Latin American and Catalan literatures. Popular with multinational groups and having its own thriving independent publishing scene, the sector adds a 1.2 billion Euros value to the regional economy and has been consolidated in the last two decades both at the local level, as demonstrated by the doubled number of public libraries, and at the international level, with 44.8% of the book exports going to the region of Latin America.
The sector of literature in Barcelona maintains its international dynamism through the organization of a wide array of international book fairs including Liber, which is the most important Spanish language fair in Europe with a special focus on digital content. The city is also home to Catalan PEN, the third oldest member of the PEN International INGO. Programmes are undertaken to increase literacy and literary curiosity for the general public and specific audiences. The “Regional Literary Agency Programme” notably conducts readings in unexpected places throughout the city such as in football fields, at the Parliament of Catalonia; Barcelona’s local Parliament building, and on trains, as well as holding conferences and workshops in correctional facilities and hospitals.
In order to further foster creativity, the Municipal Culture Bureau provides 130,000 euros to support literary events and enhance the city’s international impact in the field. In addition, Barcelona is one of the cities that initiated the Agenda 21 for culture, testifying to a rich experience in international cooperation and commitment to placing creativity at the core of its urban policy agenda, by working toward an inclusive development approach based on economic feasibility, social equity, environmental responsibility and cultural vitality.","Added Value: As a Creative City of Literature, Barcelona envisages:
nurturing the sector of literature at the local level by implementing a new facility enhancing the networks of local writers by redirecting the focus of cultural centres toward literature and by implementing new projects to cultivate reading;
hosting an annual International Editors’ Convention to discuss and promote the future of the publishing industry, with special emphasis on cooperating with other Creative Cities of Literature;
dedicating a special part of the programming at the cultural centres and the literary festivals to the Creative Cities of Literature with the aim of fostering dialogue between diverse literatures; and
taking the opportunity to host the UNESCO World Book and Copyright Day to increase visibility as well as contribute content to the Network."
77,"About the Creative City: The Second largest city of Estonia with 120,000 inhabitants and a large student population of around 20,000 people, Tartu is considered to be the national intellectual centre. With the establishment of the University of Tartu in the mid-17th century, the city became a hub for research, innovation and creativity. The city nurtures this legacy by providing a wide-range of training programmes to creative entrepreneurs, many of which are supported by the Centre for Creative Industries that connects over 1,300 creative industries in Tartu.
The major literary events are Prima Vista Festival and Crazy Tartu, organised by the Estonian Literary Society and the Estonian Writers’ Union. Both events bring together writers, poets, musicians and artists from all over Estonia and abroad. As part of Tartu’s continual innovation in the creative sector, the city places emphasis on running projects to strengthen the creative ideas circulating in its streets. For instance, the “Tartu in Fiction” project run by the Tartu Public Library, showcases residents’ visions of the city through the lens of fiction. Moreover, Tartu extends and intensifies interdisciplinary initiatives, highlighting the cross-cutting nature and universal value of literature.
“Tartu 2030” is the city’s current long-term development strategy and, using an active network of NGOs and civil society associations, aims to foster comprehensive and integrated approaches and policy frameworks. Culture and creativity exist at the core of this strategy, of which the main objective is to work towards achieving sustainable urban development and provide a safe urban environment for all by 2030. A specific part of policy is dedicated to ensuring a good quality of life, culture and creativity for the citizens of Tartu, as these are referred as key enablers of social cohesion, particularly when showcased in public spaces.","Added Value: As a Creative City of Literature, Tartu envisages:
promoting a culture of reading among young people through educational programmes and social campaigns to ensure lifelong interest in literature;
protecting freedom of expression and the diversity of literary culture by increasing artists in residence programmes, as well as providing shelter to persecuted writers;
enhancing the working conditions of authors by multiplying the number of scholarships and financial incentives;
implementing the “Poems in Urban Space: Bus Poetry” project, designed to showcase the works of contemporary poets on windows of the city’s buses, introducing literature into the everyday urban space; and
cooperating with other Creative Cities through jointprogrammes to forge ahead with sustainable urban development."
86,"About the Creative City: Granada, the first Spanish-speaking UNESCO City of Literature, has a long history of being home to renowned poets, writers and intellectuals. This tradition has made the city a reference in terms of literary production and the management of activities related to the art of speech. Granada’s public and private institutions, publishing houses and solid network of bookshops provide spaces and synergies for a vibrant programme of literature-related activities. Hundreds of literary events are held in the city every year.
Granada is, above all, the city of Federico García Lorca, the best known and most widely translated Spanish writer after Cervantes.  The city has built a large network of facilities, events and institutions around the figure of Lorca and his legacy. These include the Federico García Lorca Poetry Prize, and the International Poetry Festival (FIB) which, with over ten thousand people attending each spring, is the most important poetry festival in Spain.
The creative industries are one of the most dynamic sectors in Granada and have the largest rate of growth. Since the 1970s the city has embodied one of the keenest publishing traditions in Andalusia and is now becoming one of the most important publishing industries in the south of Spain.
With its close cultural links to Latin America and North Africa, Granada sees its role in the UCCN as a unique opportunity to strengthen its international vocation.","Added Value: As a Creative City of Literature, Granada envisages:
developing pilot projects demonstrating the importance of creativity as a key to development;
promoting good practices through exchanges on efficient and effective initiatives;
organizing consultations, gatherings and virtual conventions;
setting up cooperation programmes, particularly North-South, South-South and North-South-South, to support member cities in need of assistance; and
introducing policy measures and initiatives linked to local and national development plans."
90,"About the Creative City: Wonju, a city in the Republic of Korea, with some 350,000 inhabitants, has a strong literary tradition, represented by internationally renowned writers including Park Kyong-Ni, whose work ‘Toji’ has already been recognized by UNESCO. As of 2016, 4.5% of Wonju’s regional GDP comes from culture, amounting to an estimated US$ 310 million. Though still a relatively niche sector, about 100 professional writers are active in Wonju.
Every year, Wonju hosts a variety of economic and cultural activities in the field of literature, led by, amongst others, the Wonju Cultural Foundation and Wonju Cultural Center. The Wonju Cultural Foundation has hosted a storybook fair since 2016 and invited writers and editors to participate in forums and experiential events. However, it is the legacy of Park Kyong-Ni which remains the biggest draw to the city. The Toji Culture Center, founded in the author’s memory, has been running a residency programme for writers since 2001, having benefited 1,000 Korean writers, as well as 120 international writers from 30 countries, whilst at the same time hosting lectures and symposiums for local writers. Furthermore, the Park Kyong-Ni Literary Award, founded in 2011, has been awarded to eight writers from seven countries.
Based on their city’s key policies, the local government of Wonju is seeking new ways for urban development and transforming itself into the country’s creative cultural city by revitalizing intangible cultural heritage, hosting creative people, and synergizing literature and other creative sectors. To this end the city will support the establishment of cooperative associations and social enterprises in publishing, literature education, and literary tourism. On a national level, Wonju was chosen as the pilot city of the national government's innovative new urban development policy, which has resulted in attracting creative human resources to the city.","Added Value: As a Creative City of Literature, Wonju envisages:
contributing to the exchange of information on the implementation of Sustainable Development Goals, and the enhancement of exchange and cooperation among member cities by hosting residency programmes and international forums on literature and creative industries;
contributing to strengthening the diversity in the network of Creative Cities of Literature through exchange and cooperation with cities in the Global South, focusing on Africa and the Arab States; and
contributing to the development of policies on creative industrialization and presentation of a new urban development model through the establishment and management of cooperative associations in various creative fields."
93,"About the Creative City: Located in the south-west of France, Angoulême is a city steeped in literary tradition dating back to the time of Adhémar de Chabannes in the 11th century. Throughout the 16th century, Angoulême became a prominent papermaking hub and its key position as a city of literature was strengthened during the Renaissance thanks to the patronage of the Valois family. In response to a struggling of the publishing industry in the early 1970s, Angoulême organized the first International Comic Strip Festival with the aim of promoting growth within the sector. Since then, the comic book publishing has experienced strong growth in France and this world-renowned event now plays a vital part in the city’s economy with an estimated direct economic benefit of nearly US$ 40 million from the Festival alone.
By way of encouraging creativity within the city, Angoulême has also hosted a further array of festivals including the French-Language Film Festival and the Courant 3D Festival. Such events aim to draw like-minded people together to share ideas, think creatively and present their art. Over 200,000 visitors, 2,000 writers and 1,200 publishers from all over the world attend these events, endorsing Angoulême’s status as a genuine international literary hub.
Now positioned as a centre of excellence thanks to its renowned higher education facilities for arts and comic book creation, the continued success of Angoulême’s comic book industry is supported by a number of initiatives offering artists and writers financial assistance and creative spaces. Within the streets, art has been beautifully integrated through a number of urban development projects in which murals and painted walls were created. As well as developing school initiatives for young writers, the local government also hopes to improve the position of comic books within the literary field by working with the French Ministry of Culture, and drive change within the industry.","Added Value: As a Creative City of Literature, Angoulême envisages:
leading international discussions on Comic Art;
sharing know-how on Comic Art by supporting the development of events abroad, and attending the Network of Comic Strip Festivals;
developing hosting capacity for creation, including writers’ residencies and networks of writers;
protecting creation on the international stage through the International Rights Market;
strengthening social ties with young people through Comic Art;
defending women-led creation within the comic book industry;
promoting creation and heritage with an international dimension;
facilitating access to Comics-based university courses; and
organizing urban spatial planning through Comic Art."
100,"About the Creative City: Renamed Ulyanovsk in 1924, the city is consideredto be at the literary heart of the Russian Federation. Now home to 600,000 people, the city is famous for being the birthplace of the novelist Ivan Goncharov (1812- 1871). In 2012, and in honour of the writer's 200th birthday, the city honoured their literary heritage by dedicating a museum, housed in the three-storey building, about his life and works. The launch date of this initiative coincided with the implementation of several programmes bearing his name. These enterprises are just some of the city’s greater efforts to foster culture-led development and its desire to sustain the Ulyanovsk’s creative economy which, in a ten-year period, has multiplied three-fold.
The city’s vibrant literary scene is supported by a diverse scope of festivals, including the Oblomov Festival, which celebrates Goncharov eponymous novel’s antihero. The festival attracts around 5,000 people each year under the motto “Get Off the Sofa!”, in reference to Oblomov as the “Prince of Laziness”. In addition, the international Gala Concert of Readers pays tribute to another national literary figure, Sergei Miklalkov, author of children’s books and satirical fables, by showcasing his main works through a network of libraries implemented in 10 countries worldwide.
The current Ulyanovsk Development Strategy of Cultural Policy confirms the city’s strong will to make literature a core priority and driver of its sustainable urban development. By 2030, Ulyanovsk is committed to increase the number of published books written by local authors and encourage young creative entrepreneurs to engage in the book sector, as well as support reading and writing enjoyment by filling public spaces with innovative literary devices to enliven the curiosity of its citizens.","Added Value: As a Creative City of Literature, Ulyanovsk envisages:
supporting writers through the “Literary Intervention” programme aimed to improve the working conditions and employment opportunities in the book sector;
enhancing literature appreciation and access throughout the city’s public spaces, including the “Literary Phone Booths” project, which aims to broadcast excerpts from the books of contemporary writers within the Creative Cities of Literature society, and the “Read – Forest” project in which refrigerators filled with books are placed in public parks;
nurturing cross-cutting approaches between literature and design within the “Park school of contemporary art”, focusing on integrating literature in urban design; and
exchanging best practices within the Network by organizing an International Cultural Forum as a platform for discussion on culture and sustainable urban development."
110,"About the Creative City: As the cradle of the French language in North America, Québec (pop. 532,000) is a city renowned for its dynamism, creativity and lively literary scene, attesting to the encounter between French- and English-speakers and indigenous inhabitants. As the ideal city dreamt of by Samuel de Champlain and as the city of romance par excellence, it has long seduced the writers who visit it (Albert Camus, Charles Dickens, H.P. Lovecraft) and inspired native Québec writers (Anne Hébert, Roger Lemelin, Jacques Poulin). Currently, the city boasts 250 writers of literary fiction and over 100 guilds, publishers and booksellers who are at the heart of the revival of Quebec literature.
Numerous poetry evenings, thematic walks, festivals and other events take place throughout the year in Québec. A number of creators have combined literature with technology and other disciplines to create unique works, beyond the limits of the traditional book, seeking new ways to express the world through the written word. Québec innovates through the creation of literary projects incorporating technology and transcending the book format. Its readers are the biggest fans of digital books in the province, and assiduously frequent cultural spaces and the Bibliothèque de Québec network. In 2015, the Maison de la littérature, a centre for outreach and the dissemination of literature that is unique in North America, opened its doors in the heart of Old Québec.
In 2014, seeking to make Québec a bold cultural capital, the municipal government consulted with the art scene on its vision for developing the art-form in Québec. The outcome was a document entitled ‘2025 Cultural Development Vision’, in which the City undertakes to incorporate culture into the daily lives of all citizens, strengthen synergies between creators, invest in culture, conduct outreach and develop a favourable ecosystem for writers and artists. To achieve this, it regularly renews its support programmes for the artistic and literary scenes.","Added Value: As a Creative City of Literature, Québec envisages:
implementing the plan to develop and revitalise the Bibliothèque de Québec network with the objective of making it an attractive space for all, with priority given in particular to digital collections;
promoting reading and the practice of writing and fostering outreach from within the cultural and literary scenes including in the areas of digital publishing and comics, particularly through open-air summer activities developed by the region's literary forum Table des lettres;
promoting collaboration between Creative Cities and international partners among French-speaking inhabitants, making Québec – as the foremost French language Creative City of Literature – an ambassador within the Network to the French-language literary scene; and
stimulating international literary exchanges with other cities within the Network, and promoting literary translation, notably through a multilingual digital publishing project."
111,"About the Creative City: Jakarta is home to a robust creative industry. Its creative economy, based on a 2015 presidential decree, covers 16 creative industries, including the publishing sector. Indeed, Jakarta has been recognized as a major creative centre for the publishing industry in Indonesia, according to the Independent Assessment for Creative Cities/District in Indonesia (PMK3I) commissioned by the Indonesian Ministry of Tourism and Creative Economy. In 2019, Indonesia was the most productive publishing industry in Southeast Asia according to the International Publishers Association and Jakarta has been at the centre of Indonesia’s literary scene. As of 2020, 60% of Indonesian publishers were based in Jakarta; meanwhile the city also contributes to 25% of the country’s digital collection. Jakarta is endowed with Ismail Marzuki Park (TIM), a cultural centre supporting artists, cultural thinkers and their work, while providing an easy access to culture and a space for the public. What’s more, the city is also characterized by The National Library of Indonesia and Balai Pustaka, which serves primarily as a supporting institution for many well-known writers based in Jakarta such as Eka Kurniawan, Goenawan Muhammad, Ayu Utami, Leila Chudori, Laksmi Pamuntjak, Okky Madasari, Dee Lestari and Pramoedya.","Added Value: As a Creative City of Literature, the following steps will be important:
 Using the city’s multicultural characteristics and rich human resources to attain decent work and economic growth and reduce inequalities; and
 Expanding JakWifi coverage and improving Jakarta's critical thinking and digital literacy as a solution against hate speech."
123,"About the Creative City: Dublin is a City of Literature where creativity, and especially writing and words in all forms – prose, poetry, playwriting and song writing – are valued and celebrated. The city was home to four Nobel Prize Laureates for Literature. Its literary influence has spread to the four corners of the world: Bloomsday, commemorating the life of James Joyce, is celebrated as far away as Melbourne and St. Petersburg, Oscar Wilde Societies exist around the world and one of the world’s most familiar literary characters, Dracula, was created by Irish author Bram Stoker.
Literature and literary culture are nurtured in the city, which hosts the International Impac Dublin Literary Award, the world’s most well-endowed prize for a single novel. It is also home to the Dublin Theatre Festival, the oldest of its kind in the world. Writers are appreciated in this city, which has named three bridges and numerous streets after writers. The Dublin airport is adorned with writers’ images and quotes that accompany people on their travels, and the city is also home to a ferry company that names its ships after writers.
Dublin recognizes its great literary tradition but, more importantly, takes pride in its vibrant contemporary scene. Along with the literary greats of the past such as James Joyce, Samuel Beckett, George Bernard Shaw, Bram Stoker and Oscar Wilde, Dublin writers today are leaving their mark on the international scene. Colum McCann, Anne Enright, Colm Tóibín are all winners of prestigious international writing awards. Eavan Boland, Brendan Kennelly, John Connolly, Cecelia Ahern and Derek Landy, among others, are widely read and translated and enjoy enormous international popularity. The role of creativity and innovation is recognized, valued and embedded in city programmes and policies, and provides industry with a competitive advantage and enriches the social, economic and cultural lives of citizens.","Added Value: As a Creative City of Literature, Dublin envisages:
actively initiating and participating in intercity cooperative projects and programmes, both between Cities of Literature and cities within other creative fields;
embracing the sharing of experiences with other cities;
initiating programmes of support particularly for cities with a North-South dimension;
furthering the integration of programmes aimed at children and youth as a key element in the city’s literary and cultural activities; and
enhancing the position of creativity as the key to sustainable development. The UNESCO designation was notably the inspiration for the rejuvenation of an area of the city as a Cultural quarter with a new city library as the anchor. An international dimension will focus on UCCN members when the Cultural quarter is completed in 2018."
126,"About the Creative City: With a population of 2,345,522 inhabitants, Slemani, located in eastern Iraq, has been the home of Kurdish culture for over 200 years. Literature has always played an active role in the cultural and economic development of Slemani, and the city’s traditionally peaceful existence enabled Sorani Kurdish to become a literary language. Slemani’s streets are named for poets, busts of writers line the city’s oldest park and its citizens recite classical poems from memory. Literature, and literary creation, holds sway over the city, yet Slemani is more than a hub for writers. Known as the regional translation center and home to seven major publishing houses, the city sustains translators, editors, and publishers, and annually publish more books than other cities of the region. With the view to upholding the city’s literacy heritage, the Slemani Governorate allocates an annual budget of over US$ 2 million to cultural programmes, and the Directorate of Culture and Intellectualism employs over 2,000 full- and part-time employees across 39 branch offices.
Today the city hosts major literary festivals including the annual Galawezh Festival, which was founded in 1996, and invites Kurdish, Arab, Persian, Turkish and Iraqi writers to participate and contribute with their work. Furthermore, DidiMn, a pan-university student-led organization, holds an annual conference on arts featuring literary professionals, of which the 2018 edition, for example, focused on literary translation. Yet undeniably, the highlight of the city’s festival calendar is The Sulaimani International Film Festival, which shines a light on Kurish cinema graphic talent, as well as international art house films. 
Over the last five years Slemani has renewed its support to the city’s writers and has given a new sense of positivity towards its cultural and creative capital. With the renewed stability in the region, the city has designed and implemented policies and measures to support both the creators and creation of new literature.","Added Value: As a Creative City of Literature, Slemani envisages:
digitizing the collections of Slemani’s vast archives, ensuring their preservation and accessibility;
using poetry and translation workshops for inclusive and cohesive development;
promoting healthy and traditional gastronomy with a multilingual cookbook built on traditional knowledge, food writing, and contemporary nutritional science;
hosting an international literature festival, introducing writers from UNESCO Creative Cities to a Kurdish readership; and
translating literature from Kurdish into other world languages, and vice-versa, to promote international dialogue."
131,"About the Creative City: Located in the centre of England, and home to 320,000 inhabitants – with 786,000 in the wider urban area, Nottingham boasts a rich history of illustrious literary figures residing within its walls, such as Lord Byron, D.H. Lawrence, Stanley Middleton and Alan Sillitoe, to name but a few. Now, as a hub for creatively, records show that over 2,400 creative businesses, employing nearly 20,000 people, are based there. The literature-related programmes of Nottingham Trent University and the University of Nottingham, campuses together attract a worldwide student population of more than 60,000 annually, are renowned for their long tradition in creative writing courses. In addition, the city has a strong library network featuring the 200-year-old Bromley House Library.
Distinguished by the variety of its literary events, Nottingham annually hosts the multidisciplinary Nottingham European Arts Theatre (NEAT) Festival, which gathers 300 artists and a 55,000-person audience. In addition, the independent bookshop Five Leaves hosts numerous indoors and outdoors public readings, as does the Writers’ Studio, an innovative body run by writers for writers. Nottingham's literary scene is underpined by grassroots initiatives and a cross-cutting approach towards literature, embracing books, comics, plays, film-scripts, videogames, and visual arts.
The Nottingham City Council's commitment to creativity and creative work is evident in the ambition of its policies, notably the development in 2013 of the Creative Quarter. A flagship project of the city’s 2012 Growth Plan, the Creative Quarter aims to foster exchanges between the business community and creative and educational practitioners and institutions. Since its launch, the project has generated new employment opportunities in the creative sector, including roles in literature, media arts, film and entertainment industries, and inspired new city-centre venues and networking opportunities.","Added Value: As a Creative City of Literature, Nottingham envisages:
tackling illiteracy through grassroots initiatives including the award-winning Dawn of the Unread project to engage reluctant readers with literature and, in turn, drawing a path to lifelong reading and learning;
extending the City Read and Write programme to hold workshops in libraries, schools and cultural centres to encourage habits of storytelling, especially by targeting young people;
continuing to organize the Nottingham Festival of Words, which showcases a wide range of international and multilingual works and fosters the participation of marginalized and vulnerable groups and individuals;
broadening job opportunities for young people through the Mouthy Poets collective, which focus on economically sustainable careers in the literary sector; and
nurturing international cooperation with other Creative Cities of Literature, notably through the City Read and Write goes Global project to highlight innovative intercultural experiences."
133,"About the Creative City: The Capital city of Slovenia with 280,000 inhabitants, Ljubljana is known to be a prolific centre of literary creation with an average of 850 books published each year. With its strong public library network of over 500,000 members, the city was bestowed the title of World Book Capital and became the first city to host the World Book Summit, during which the adopted Ljubljana Resolution emphasized the importance of books as key drivers of sustainable development and cultural diversity.
Ljubljana has a vibrant creative scene and hosts a variety of major international events. Home to the main programme for the prestigious Fabula Festival, the city each year showcases more than 60 artists including internationally renowned writers such as Mueller, Franzen, Kureishi, Houellebecq and Galloway. With a commitment to promoting reading for all, Ljubljana’s literary life enlivens public spaces through diverse initiatives, such as the open-air Library under the Treetops and the Literary Walks. The Ljubljana Reads project also focuses on the broad participation of young people by offering them equal opportunity to enjoy literature. 
As a member of the International Cit ies of Refugees Network (ICORN), Ljubljana is committed to supporting freedom of expression, as well as providing creative environments for writers. The Municipality thus offers free of charge premises for cultural activities through public tenders. In the Šiška district, 36 offices in a former administration building have been leased to artists, emphasizing the particular dynamism of the city in terms of fostering cultural facilities and supporting the emergence of creative industries.","Added Value: As a Creative City of Literature, Ljubljana envisages:
further promoting the culture of reading and the accessibility of books for all, especially for young people through the Children Book Festival and the Youth Library;
creating new employment opportunities for young creative entrepreneurs in the book industry;
organising the Book Celebration Festival to fill public spaces with literary related activities to enhance access and participation to cultural life;
offering artist residency programmes to strengthen the ties between Creative Cities of Literature by hosting artists at the Švicarija Art Centre for sixmonth exchanges; and
establishing the Palace of Literature to focus on the history of Slovenian literature – the Palace will also host a dedicated UNESCO Creative Cities of Literature Saloon to showcase the major authors and literary trends within the UCCN."
141,"About the Creative City: For 80 years, Iowa City has been committed to celebrating writing. The Iowa Writers’ Workshop at the University of Iowa pioneered the teaching of creative writing at the university level; and dozens of creative programmes exist at the university and throughout the city.
 
Known as a long-standing home for writers, Iowa City has a unique set of influential literary institutions which explore new ways of teaching and supporting writers. Many of these cultural assets are housed at the University of Iowa. In addition to the Writers’ Workshop, the University is home to the International Writing Programme, the Nonfiction Writing Programme, the Translation Workshop, the Playwrights Workshop, the Spanish Language Creative Writing MFA, and the Iowa Center for the Book, to name but a few. 
 
The community is also home to a rich array of literary spots, from the world-renowned Prairie Lights independent bookstore to the Iowa City Public Library – the busiest library building in the state per capita.
These organizations, and the City of Literature organization, provide rich programming that includes the Iowa City Book Festival, the Iowa Summer Writing Festival and the One Book Two Book Children’s Literature festival.
 
The city also boasts several presses and publishing houses, all of which support the many writers who have called or who continue to call Iowa City their home.","Added Value: As a Creative City of Literature, Iowa City envisages: 
 
initiating pilot projects in the field of literature that demonstrate the importance of creativity as a key to development;
promoting the sharing of best practices related to operations and programming with other cities in the UCCN, particularly those in the literary creative field;
sharing research, analysis and assessment of the creative cities experience; and
playing an active part in the life of the Creative Cities Network, including but not limited to participation in meetings and other activities."
142,"About the Creative City: The Lithuanian city of Vilnius is home to 63% of all Lithuanian’s publishing houses. From 2017, 63% of all the country’s books and brochures were published in the Vilnius district. Consequently, the city is seeing an increasing number of residents with a growing interest in literature and notably amongst its young generation of citizens. Vilnius boasts several research and professional writing institutions, such as Vilnius University, the Institute of Lithuanian Literature and Folklore, Lithuanian Writers’ Union, Lithuanian Association of Literary Translators, and the Lithuanian Section of the International Board on Books for Young People. Drawn by the city’s rich literary culture, the number of tourists visiting Vilnius have been steadily growing, with over one million tourists visiting Vilnius in 2019. Some of the most popular Vilnius city tours based heavily on literature: 'Žymiausios Vilniaus moterys' (the Famous Women of Vilnius), 'Vilniaus senamiesčio kiemelių paslaptys' (Secrets of the Vilnius Old Town Courtyards), and 'Žydų istorija ir kultūra Vilniuje' (the Jewish History and Culture of Vilnius).","Added Value: As a Creative City of Literature, the following steps will be important:
	• Contributing to the establishment of the UCCN literature centre which will launch international literature projects in collaboration with other UCCN member cities;
	• Delivering relevant cultural and creative strategies and plans, especially regarding the literature sector;
	• Creating a residency programme and developing an infrastructure for writers;
	• Hosting writers from conflict zones and challenged regions;
	• Supporting the development of a touristic literature programme and an educational literature programme;Supporting the professional literature field by establishing a system of art residencies and funding for emerging writers; and extending bibliotherapy and similar programmes for vulnerable groups and individuals to increase their well-being."
145,"About the Creative City: Celebrated for its vibrant literary culture, Melbourne supports a diverse range of writers, a prosperous publishing industry, a successful culture of independent bookselling, a wide variety of literary organisations, a well-established culture of reading and is actively involved in many events and festivals.

	Melburnians consume more books, magazines and newspapers per capita than any other city in Australia and enjoy the highest concentration of community book clubs in the country. Moreover, the city has been home to some of Australia’s greatest writers, including Marcus Clarke, Peter Carey and Helen Garner.

	Australia’s oldest public library, the State Library of Victoria, is located in Melbourne. Founded in 1854, it was the first major cultural institution established in Melbourne and now attracts over 1.7 million visitors annually. There are 289 local libraries in the State of Victoria, with 2.5 million members who borrow approximately 50 million items each year. Victorians of all ages are avid readers and almost half of all Victorians are library members. More Victorians read for pleasure than in any other State in Australia. Moreover, in 2014 over 230,000 children participated in the Premier’s Reading Challenge, reading more than 4 million books all together.

	Melbourne is home to an array of literary organisations, including Australian Poetry, Express Media, the Emerging Writers’ Festival, the Melbourne Writers Festival, the Small Press Network, Wheeler Centre and Writers Victoria.","Added Value: As a Creative City of Literature, Melbourne envisages:
providing a gateway to Australia, the Pacific and South East Asia;
contributing to the continuous innovation in the digital presentation of writing and literature events; and
strengthening Melbourne’s position as a leader in the support and development of young and emerging writers."
171,"About the Creative City: Edinburgh is the world’s first UNESCO City of Literature. Designated in 2004, the capital of Scotland has a population of almost 500,000. 
 
It is the birthplace and home to world-famous writers, poets and playwrights including Arthur Conan Doyle (Sherlock Holmes), Walter Scott (Waverley), and JK Rowling (Harry Potter). It has its own Poet Laureate, the Edinburgh Makar.
 
Publishing Scotland, the national body for publishers, as well as award-winning independent publishers are based here. The Edinburgh International Book Festival is the world’s largest literary festival of its kind, lasting for two weeks each August. The Festival welcomes approximately 800 authors from nearly 40 countries and brings in over 225,000 visitors annually.
 
In 1725 the world’s first circulating library opened in Edinburgh and today free public libraries can be found all over the city. Furthermore, the National Library of Scotland, the leading centre for the study of the Scots, the Scottish Poetry Library and the Scottish Storytelling Centre can all be found in Edinburgh. The city is home to unique institutions fostering literacy, including the Scottish Book Trust, a national agency for readership development and the Writers’ Museum and Makars’ Court, which commemorates Scottish writers and poets. 
 
There are over 50 bookshops in Edinburgh. They are key venues for a vibrant culture of readings, literary cabarets and workshops happening year round. Edinburgh has four universities, including the University of Edinburgh, established in 1580 and which is one of the United Kingdom’s oldest. The city is also the first in the world to appoint a Regius Professorship of Rhetoric and Belles Lettres (English Literature).","Added Value: As a Creative City of Literature, Edinburgh envisages:
working closely with other Cities of Literature on a range of projects which aim at sharing knowledge and expertise, and which provide training and capacity building;
continuing its mission to support cities around the world as they prepare their bids to become UNESCO Cities of Literature;
hosting meetings (physical and online) to bring together Cities of Literature;
working with multiple art forms, as illustrated recently in a collaborative initiative with Glasgow, a UNESCO City of Music, on a song lyrics project, “Let’s Get Lyrical”; and
developing an ambitious programme to lead the development of a literature strategy for Edinburgh as a UNESCO City of Literature."
174,"About the Creative City: Lillehammer (pop. 26,900) is the seat of Oppland County in Eastern Norway. Lillehammer's first appearance in world literature was in Haakon Haakonarson's saga in 1260. Famous for its relaxing atmosphere and soothing qualities, the city became a favourite destination for painters and writers in the 19th century, such as Gustav Fröding, Claude Monet and Nobel laureates in Literature Knut Hamsun, Bjørnstjerne Bjørnson and Sigrid Undset. The Norwegian Culture Index, which monitors the culture activity and impact, ranks Lillehammer as number 5 among 428 municipalities.
Insisting on the qualities of small town life combined with a global outlook, Lillehammer is keen to further develop its historical role as an internationally-oriented city. The city organises the Norwegian Festival of Literature; the largest of its kind in Scandinavia. In 2015, Lillehammer hosted the 9th Global Investigative Journalism Conference and two years later opened its doors to a major conference on behalf of PEN International and the ICORN Network. In 2020, Lillehammer will host the 33rd International Publishers' World Conference. The Norwegian Festival of Literature has also launched a residency for a chosen international author, based at Bjerkebæk, home of Nobel laureate in Literature Sigrid Undset. This effort is a natural extension of Lillehammer's increased commitment as an International City of Refuge and a UNESCO Creative City of Literature.
In recent years, the Lillehammer Municipal Council has been implementing a new cultural strategy, stating that arts and culture should be the cornerstone in the future development of Lillehammer, both as a tool for the improvement of quality of life, as well as social and economic sustainability. Lillehammer is already a national powerhouse for the production, innovation and dissemination of culture; especially when it comes to literature. Norway's unique literary system, providing public economic incentives for the production and dissemination of literature for children and young people, is at the centre of Lillehammer's ambitions going forward.","Added Value: As a Creative City of Literature, Lillehammer envisages:
inviting other cities to develop strategies for advancing youth readership;
undertaking the 'Small Shoes, Tall Tales' cross-disciplinary initiative, aimed at positioning the city as an international hub for storytelling for children and young people;
expanding the Lillehammer House of Literature further by creating additional co-working spaces;
exploring literary practices as levers for dialogue and peace through the Loud, Clear and Listening project;
following the establishment of a combined school, education centre and library in the village of Takukot in Nepal, developed in partnership between NGO READ Nepal;
advancing freedom of speech in a digital age through the ICORN Network, working together with other Creative Cities and International Cities of Refuge; and
exploring and expanding the intersections between literature and film by sharing best practices."
