,About the Creative City,Added Value
47,"About the Creative City: A city of 135,000 inhabitants, Limoges is internationally recognised as the French capital of ceramic arts. Limoges’ history boasts nine centuries of creativity in the crafts of ceramics, enamel and glass-making. Over time, these crafts have modernised their production tools and have always served as a driver of economic growth. The discovery of kaolin in the 18th century close to Limoges established its renown in the porcelain industry. The sector accounts for around 60% of the national income, amounting to US$138 million annually with almost 1,200 individuals employed in the sector. Fifteen companies within the sector post revenues in excess of US$2.4 million.
Ceramics, enamel and glass-making are important strongholds in Limoges through its many artisan’s workshops, collectives, associations, factories, research and development centres, schools and museums. This rich ecosystem is illustrated by an extensive schedule of events, including the Toques & Porcelaine [‘Chefs and Porcelain’] festival, held every two years and combining cuisine and porcelain through live cookery demonstrations and talks with debates. At the beginning of 2017, in partnership with the city council, the École nationale supérieur d’art organised research days seeking to explore connections between ceramics, glass, and the transformation of these materials into digital data.
The City of Limoges promotes the inclusion of contemporary art in public spaces, as is attested to by its street furniture and numerous art projects. The City Council’s goal of is to turn public spaces into places of experimentation for ceramic arts and to showcase artisan creators and establish inclusive spaces that promote social interaction. Educational activities linked to ceramic arts will also be developed through active, cross-cutting policies, with a view to promoting cultural expressions within civil society and inculcating ‘ways of seeing’.","Added Value: As a Creative City of Crafts and Folk Art, Limoges envisages:
transforming its public spaces into areas of experimentation for its artisan creators (demonstrations, performances and public-sector artistic commissions);
supporting its artisan creators by establishing a creative market and developing affordable rent workshops;
creating, for every other year between its two-yearly ceramics and cuisine event, an international craft fair with priority access for creators from other cities within the Network;
promoting artisan and craft know-how among young people (public workshops, internships, talks and extracurricular activities);
developing a residency programme for international artists and artisans from other Creative Cities in order to mix different creative spheres and promote exchanges between member cities; and
promoting North-South cooperation by offering its expertise, thereby enabling cities that so desire to identify their assets and develop these through decentralised cooperation agreements."
48,"About the Creative City: Bandar Abbas, located on the southern coast of Iran, is the gateway to other nations. Handicrafts and local art, seafood, local music and song are the main cultural characteristics of the city. However, handicrafts and local arts are the oldest and most prominent creative industries within the city and include three categories: practical and marine crafts, local clothing, and local musical instruments. For Bandar Abbas, the art and crafts industry is an important part of the city's economy, with annual turnover of about $US 2 million and exports of nearly $US 1.5 million, as well as generating 8000 direct and indirect job opportunities in the fields of production, distribution, advertising, sales, export, and training of local industries.
Each year, many exhibitions and conferences are held at local, national and international levels. Many of these celebrate artworks and crafts created by local makers and students. By providing young designers with the opportunity to showcase their work, Bandar Abbas is encouraging a new generation of artists and ensuring the ongoing crafts traditions. To ensure the continued growth of the sector, Bandar Abbas is set to host the International Handicrafts Fair and the Persian Gulf International Festival. These events seek to share handicrafts, experiences and achievements of artists and experts of Bandar Abbas and from other parts of the world, and enhance women's participation in the development of sustainable economy.
To further develop and promote the creative industries, a number of plans, policies and guidelines have been implemented. These include electronizing the process of obtaining business permits and creating a mechanism for organizing and identifying homebased artisans with the aim of making it easier for individuals to start and operate a business. Weekly market for handicrafts were also introduced by local government to generate greater exposure for craftsmen and especially economic opportunities for women within the crafts industry.","Added Value: As a Creative City of Crafts and Folk Art, Bandar Abbas envisages:
integrating cultural and creative industries into local development programmes;
transforming the city through cultural values and encouraging the cooperation of all stakeholders to promote national and international interactions;
maintaining the human heritage to ensure the sustainable development of the city; and
being a center of excellence in creative industries development for its neighboring cities."
50,"About the Creative City: Considered as a hub for crafts and folk art, Isfahan is the third biggest city in Iran, with 1.5 million inhabitants. Its creative sector comprises the country’s most specialized craftpeople in 167 different disciplines, including carpet weaving, metalwork, woodwork, ceramics, painting and inlay works of various kinds. According to Isfahan Territorial Planning, at least 9,000 craft and folk art workshops and enterprises contribute to the Isfahan economy, the majority of which are located in the historical Naqsh-e Jahan Square, inscribed as a UNESCO World Heritage Site in 1979 and dedicated to the sector.
While the Naqsh-e Jahan Square remains the major centre for showcasing high-grade works through permanent exhibitions, other events give both a local and international focus to the city’s dynamism in the field of crafts and folk art, such as the International Cultural Heritage Festival, which attracts the annual participation of 26 countries worldwide. The highlight of this event is the workshop dedicated to female artisans, emphasizing Isfahan’s commitment to valuing female artworks to perpetuate traditional know-how.
As Isfahan primarily considers crafts and folk art as key levers to foster social reintegration and cohesion, employment growth, and the preservation of vanishing traditions and knowledge, the Municipality’s programmes reflect these objectives by working in close collaboration with creators. A wide range of training workshops and financial support mechanisms have been developed, notably in the framework of the Handicrafts Cooperative Societies, gathering both public and private entrepreneurs to formulate innovative projects and policies to enhance the status of creators and the contribution of crafts and folk art for sustainable urban development.","Added Value: As a Creative City of Crafts and Folk Art, Isfahan envisages:
 
developing the capacities of artists and creative entrepreneurs by providing financial support and training in management and marketing through the Creative Isfahan Plan, launched by the Municipality in 2014;
encouraging gender equality in the production of crafts and folk art through the Closet Remodel Plan, aimed at valuing women with traditional know-how in the field and turning them into producers to carry on their knowledge and stimulate the local economy;
enhancing the visibility of crafts and folk art through the web information platform of the Creative City of Isfahan which identifies existing opportunities in terms of training, employment, entrepreneurship; and
fostering international cooperation and exchange of expertise with other Creative Cities through joint projects in the line with the city’s Innovative Craft Programme highlighting innovation based on interdisciplinary approaches."
51,"About the Creative City: Sukhothai, is a historical city situated north of Bangkok. The city has been listed as a UNESCO World Heritage Cultural Site since 1999. With a population of 597,257, the city has a rich heritage of traditional arts and crafts and has become a centre for location artisan production home to 1,300 craftspeople working in community-based industries, including textile weavings, gold and silver ornaments, and ceramic and Sangkhalok wares. The total estimated income from these traditional crafts and folkc art is around US$ 33.7 million. Such existing crafts not only reflect Sukhothai ancient wisdom but represent a significant enhancement of the city’s economy.
 
In recent years Sukhothai has hosted several major Crafts and Folk Art events, including the Sukhothai Craft and Art Fair. Hosted by the Thailand Authority of Thailand, this inclusive event attracted traditional industry craftspeople from all over the region. On the international front, in 2019, the city launched the Street Art festival in Sawankhalok, during which walls along Pisansoonthrakit Alley were painted by artists from Thailand, Singapore, Malaysia and Cambodia.
 
In order to support local crafts and folk art industries, the local government of Sukhothai has put in place a 20-year development plan, which involves a citywide project for all public, private and civil society sectors to work together to make Sukhothai a world-class creative city of crafts and folk art. At the heart of this policy is the creation of the Local Wisdom Centers in 9 districts, which is an ongoing project implemented by the Sukhothai Provincial Culture Office. On the national level, the Government has promoted the creative economy as a key development approach of the 12th National Economic and Social Development Plan, which aims to turn Thailand, and especially Sukhothai, into a creative industrial hub.","Added Value: As a Creative City of Crafts and Folk Art, Sukhothai envisages:
 
creating a new creative hub and learning centre of Crafts and Folk Art in the Lower Northern Region of Thailand, serving both education and creative sectors’ needs;
promoting a start-up collaboration between art and craft creators and academics in the fields of research and development;
developing support for crafts and creativity skills, especially with regard to Sukhothai’s silver and gold jewellery, textiles and sangkhalok wares; and
generating income for art and craft creators and Small and Medium Enterprises (SMEs) in the creative industry, thus helping them to improve their quality of life in the long term."
52,"About the Creative City: Manises, a Mediterranean city with over 31,000 inhabitants, is internationally recognized for its ceramic crafts, which date back to the 13th century and whose production is based on the Islamic gold luster technique. In the 20th century, Art Nouveau was another period of splendor for the sector, linked to architectural art, transforming Manises itself into a living ceramic landscape, which is now protected by law. Today, arts and crafts continue to be drivers for the city’s economic growth, and a pillar of its cultural identity. Indeed, Manises is home to over 46 enterprises and artisans, 3 major associations (2 of which have a national scope), 2 official ceramic educational centres (among which the Higher School of Ceramics was the first in Spain) with a high percentage of female students, a renowned Ceramics Museum offering over 10 temporary exhibitions per year. An average of about USD 4.02 million is invested annually in ceramics and samples of Manises ceramics are viewable in about 120 of the world’s most prestigious museums. Manises’ vibrant agenda of craft events includes the International Ceramics Biennial, whose 50th anniversary will be in 2022, bringing together artists from about 40 countries. Other popular events such as the Ceramic Festival, Cabalgata de la Cerámica also take place, combining ceramics, music and gastronomy, which are attended by more than 40,000 people.","Added Value: As a Creative City of Crafts and Folk Art, the following steps will be important:
	● Preserving and reinforcing ceramics as a pillar of the city's identity;
	● Supporting local artisans and artists for their professional growth;
	● Integrating ceramics in the municipal strategic planning, making efforts to stimulate new models of development and urban regeneration based on ceramic landscapes and creative tourism;
	● Promoting international educational exchanges and actions for youth within the UNESCO Creative Cities Network;
	● Exchanging know-how among the UCCN member cities, especially in the creative field of Crafts and Folk Art and through other cross-cutting experiences; and
	● Promoting North-South cooperation by offering ceramic training to refugee migrants to facilitate their integration."
60,"About the Creative City: Capital of Burkina Faso, Ouagadougou is a political, administrative and cultural centre and home to over 80% of the population of the central region, with 2,000,000 inhabitants. Bronze-working originated in Niongsin, a neighbourhood initially home to three major families who specialised in the lost wax casting of copper and bronze. Over time, many other groups developed an interest in the craft, which has become the chief source of income for many families. The sector has a considerable impact on the local economy, with service-based craftsmanship employing 13% of workers in the informal sector and composed of 375 businesses and organisations.
Currently, various training centres set up by the State, the municipality and professional guilds transmit artisanship. For example, the Centre national d’artisanat et d’art [National Centre for Arts and Crafts], the Village Artisanal de Ouagadougou [Craft Village], the Vitrine du Bronze [Bronze Display] and the Lukaré Centre offer young people training programmes to ensure continuity in a dynamic dialogue between heritage and creativity. The city hosts two major two-yearly cultural events: the Ouagadougou International Craft Fair (SIAO) and the Ouagadougou Pan-African Cinema and Television Festival (FESPACO).
To support local cultural industries, the Ouagadougou city council places an emphasis on the professional accreditation of young artists through the organisation of technical training, and on improving their working conditions with the building of multi-use cultural complexes including production facilities, an auditorium, and training spaces (Reemdoogo 1, Palais JP Guingané, Maison du Peuple). The municipal government is aware of the importance of bronze-working and has created the Vitrine du Bronze [Bronze Display] to permanently establish and promote the craft and to encourage the sale of its products on markets. As an important driver of the local creative economy, the municipality has pursued a craft revitalisation policy that establishes Niongsin as an iconic neighbourhood in this respect.","Added Value: As a Creative City of Crafts and Folk Art, Ouagadougou envisages:
implementing a cultural development programme for the city including the creation in the suburbs of a music development centre, Reemdoogo 2 in Dassasgho, and a social-cultural centre to develop artistic practices in Sig-Noghin;
refurbishing the first group of bronze workshops and cultural development of the shores of dam No.2 in Niongsin, an historic bronze-workers’ neighbourhood in partnership with national and international companies as part of their social responsibility programmes;
devising a strategy for the international promotion of local craft, art and design production and developing exchange residencies; and
transforming Ouagadougou International Bronze and Design Fair (SIAO), which will offer international workshops on ‘Culture, the Environment and Urban Planning’."
62,"About the Creative City: Located at 33 kilometres from Jordan capital city, Madaba (180,000 inhabitants) is also referred to as the city of mosaics. Known for its Byzantine and Umayyad mosaics, it is where the largest number of mosaics has been discovered in their original location in the world, including the oldest surviving depiction of the Holy Land. The protection, restoration and maintenance of these mosaics have become important to both the citizens and the local authorities, leading to the revival of mosaic handicraft and a large mobilization of local craftsmen. Mosaic craft is one of the main local economic resources and has created 800 employment opportunities and 150 workshops.
The archaeological excavation in Madaba contributed to the discovery of hundreds of mosaics. As a result, the city established the Madaba Institute for Mosaic Art and Restoration; the only institute in the Middle East specialised in teaching mosaic conservation and production techniques. Through the support of the Municipality, mosaics have become an important economic enabler and the basis for agreements and twinning projects with cities around the world, through the organisation of several events and exhibitions. The Mosaic Festival for example, launched in 2014 in partnership with Middle East University, aims to promote the mosaic industry and tessellation work of local craftsmen. In 2016 Madaba was bestowed the title of Mosaic City by the World Crafts Council.
As part of a partnership between the Municipality of Madaba, the Ministry of Tourism and Antiquities and the Department of Antiquities of Jordan, the Mosaic Workshops Instructions have been established to raise awareness and train craftsmen and stakeholders in responsible and sustainable approaches of the mosaic industry. The workshops focus notably at preventing illegal exportation of mosaic antiquities by labelling them as modern artworks, as well as at strengthening artisans’ rights and working conditions through safe work environment, health insurance and social security systems.","Added Value: As a Creative City of Crafts and Folk Art, Madaba envisages:
establishing a committee for preserving mosaics and handicrafts in Madaba and strengthening craftsmen rights and working environments;
launching the Madaba Creative Festival for Handicrafts and Mosaics, inviting other Creative Cities of Crafts and Folk Art to share best practices and experiences in production techniques and design;
creating a comprehensive database for Madaba ancient mosaic artworks, to facilitate their management, monitoring, safeguarding and transfer of them to the next generation;
renovating the AlQesar Wheat Milling heritage building to become a museum that will showcase the story of wheat milling in Jordanian heritage and Madaba’s folk art; and
launching a local radio station for Madaba Municipality called ‘Hawa Madaba’, to raise awareness on cultural heritage and promote mosaic artworks"
66,"About the Creative City: Perth is a small, vibrant city in central Scotland. With a varied urban landscape, the Perth region is home to a multicultural population of almost 160,000 people with principal industries include farming and tourism and new developments, particularly in the field of low carbon energy. The city has two major theatres, which host an engaging cultural calendar for residents, and several international standard museums, many of which have a focus on local craft production. Furthermore, Perth College boasts 650 culture and creative industry students helping to forge the next generation of innovative cultural development. Culture is delivered throughout the city and region in several ways. The current annual revenue investment for culture from the Perth and Kinross Council’s Culture department is USD 5.90 million. There are 395 registered Creative Industry businesses, an increase of 19% from 2010, with approximately 3,045 people employed. The average GVA per creative sector job in Perth stands at USD 55,517 per year. Perth works closely with neighboring cities and is involved in the Tay Cities Deal, a USD 200.80 million agreement between the UK and Scottish governments to invest in innovation, business and culture. As a result, the city is planning several major culture orientated developments. These include a large-scale Perth City Hall Museum development, with crafts and folk art at its heart.","Added Value: As a Creative City of Crafts and Folk Art, the following steps will be important:
	• Implementing a series of festivals and events that will promote collaboration between its international partners;
	• Providing low cost space and easily obtainable space for artisans and craftspeople to promote and market their work;
	• Providing a platform for workshops to engage the public and ensure crafts and folk art are accessible to all;
	• Working with cities across the Network to create a crafts and folk art trail which will promote the story of craft in each place, encourage sustainable tourism and lead to a narrative about the heritage and future of the craft sector.
	• Providing a centre point locally for makers and creators to collaborate to access funding."
67,"About the Creative City: Since the first kite, the earliest human aircraft, took flight in Weifang 2,400 years ago, crafts and creativity have been recognized as a foundation of local development. Weifang became the centre of Buddha statue making around the 5th and 6th centuries. Since the 18th century, Weifang has been a crafts and folk art capital in northern China. Kite, Chinese New Year painting, papercutting, peach pit carving, and silver inlaid painting, all have contributed to establishing the city's leading role in the field of crafts and art. A city with a spirit of tolerance and openness, Weifang values history and tradition but also embraces innovation. The pursuit of excellence in crafts and technology innovation have been at the core of the city's DNA. 38 editions of the International Kite Festival have helped Weifang establish cultural and economic exchanges with 110 countries and regions worldwide. Weifang aims to engage its rich cultural resources to create more jobs and development opportunities for all. Today, over 1,800 companies and family-owned crafts and folk art workshops based in Weifang employ 100,000 people, including 40,000 women and 10,000 from vulnerable groups. In 2020, despite the pandemic, the annual GDP of Weifang’s cultural industries amounted to USD 3.56 billion. Weifang has proven itself a successful example of harmonious development combining rapid economic growth, cultural traditions preservation, and desirable human habitat.","Added Value: As a Creative City of Crafts and Folk Art, the following steps will be important:
	• Promoting knowledge and conducting industrial development research on crafts and folk art, as well as exploring solutions to employment, social equality and economic development;
	• Creating jobs and welfare opportunities for all, notably women, youth, and vulnerable groups;
	• Nurturing emerging cultural industries through intersectoral blending between different crafts and folk art and other creative fields;
	• Utilizing the city’s various activities and projects, especially the International Kite Festival, as an international exchange and collaboration platform;
	• Playing an active role in the Network by collaborating closely with the UCCN Secretariat and fellow cities; and
	• Strengthening cultural dialogue and project collaboration with Africa, Latin America and the Arab States region, promoting a more balanced development of the Network."
71,"About the Creative City: Sharjah is one of seven emirates comprising the United Arab Emirates. It occupies approximately 235 square kilometers of coastal and mountainous region along the Arabian Gulf and nearing the Indian Ocean. In addition to its cultural heritage sites and museums, Sharjah celebrates many traditional crafts, such as ‘Talli’ weaving. As well as being historically important, this craft is also highly valued within Sharjah because it extensively supports female artisans and communities of native Emirati women. Although niche, the ‘Talli' craft embroidery, sewing and tailoring is a growing sector.
 
The city of Sharjah actively promotes and celebrates its culture and heritage through festivals and events. Local Sharjah Heritage Days are organized to highlight traditional crafts and provide a platform for the artisans who practice them. In addition, the Sharjah Art Foundation runs a number of workshops, not only supporting professional artists, but also providing training to new designers. These sessions enable the transfer of traditional arts and crafts knowledge, ensuring that such valuable expertise is not lost in contemporary society.
 
Through schemes, including The Bidwa initiative, Sharjah continues to endorse its crafts and folk art sector. Employing over 60 artisans, The Bidwa initiative is an internationally recognized programme that provides vocational training and support, enabling traders to develop their skills and break into new markets. As well as increasing awareness surrounding local art and crafts, the initiative also focuses on increasing the number of female artisans within the industry. Furthermore, in 2017, Emiri Decree No 5 introduced legislation, policies and strategic action plans, preserving cultural heritage in line with international agreements and charters, ensuring long-term support for the city’s crafts and folk art sector.","Added Value: As a Creative City of Crafts and Folk Art, Sharjah envisages:
 
creating a platform for synergies between the UNESCO Creative Cities;
building exhibition spaces for the dissemination of crafts and promotion of artisanal contributions;
implementing educational initiatives to promote knowledgesharing and collaboration;
providing vocational training for traditional crafts; and 
organising an awards scheme to recognize and celebrate heritage bearers and their contribution to traditional culture."
83,"About the Creative City: Located between the Alps and the Po River Valley in Italy, Biella extends over three levels: Biella Piano, Biella Piazzo and an industrial area along the Cervo stream. Now home to 44,000 people, the city has always been considered as the Italian wool capital thanks to an abundance of rivers and streams which fueled the growth of the wool manufacturing industry dating back to 1300s, and today still leaves an indelible mark on the area. Biella's excellence in textile manufacturing is famous worldwide, telling the story of an entire community that has been able to turn artisanal skill and manufacturing creativity into a competitive advantage for the area's economy. Employing over 11,000 employees, the wool and textiles sector weathered the crisis in 2008 and is renowned for its tailoring quality and fashion.
 
Biella is the capital of the world for professionals of the entire textiles chain. From the sheep ranchers to the producers, events including the World Congress of Coloured Sheep and the Cashmere and Camel Hair Manufacturers Congregation cater for and support all parts of the industry. On an international stage, Biella hosts a number of expositions providing opportunities for global synergies such as Textile Innovation Days and ACTE (European Textile Collectivises Association).
 
With its legacy of industrial archeology still reaming, the local governement have converted many of the ex-wool mills, knitting mills and worker housing into creative incubators for experimentation with new artistic cross-pollinations.These builds also provide spaces for learning and co-working for innovative, emerging start-ups. In 2013, the Sella Lab initiative was created with the aim of providing further support for creative industrial entrepreneurs. Globally, Biella is synonymous with research, leading to variety of projects focused on the social and environmental impact of wool production and innovative fibers being funded.","Added Value: As a Creative City of Crafts and Folk Art, Biella envisages:
 
connecting local players through creativity and culture, instruments in the planning of local development;
building a reputation no longer associated only with products, but also with dislocated “creative hot spots”, educational and experiential places;
establishing partnerships and projects with other Creative Cities, starting with the strategic sectors of Crafts and Folk Art, and Design; and
realizing educational, professional and artistic exchanges in the textile and fashion fields, along with art and social design, and collaborating in research, studies, and pilot projects."
88,"About the Creative City: Located in Northern Thailand, Chiang Mai (pop. 131,000), the ‘Rose of the North’, was erected in 1296 as the capital city of the Lanna Kingdom. Craftspeople played an essential role in building the kingdom’s reputation as a wealthy trade centre, derived from its close proximity to the Ping River and major trading routes. Throughout the years, craftsmen settled in the neighbouring villages around the city and continued contributing to the crafts industry. The sector represents the major source of employment with 159 established enterprises.
The transmission of Chiang Mai’s crafts practices, including pottery, silverwork, wood carving, silk embroidery and lacquerware, has been ensured by dedicated programmes within public primary and secondary schools, such as the ‘Museum to School’ and ‘Our Area’ projects, both aimed at raising children’s awareness about the history of Chiang Mai’s crafts and folk arts. The city also fosters cross-cutting approaches within the eld, illustrated by the Lanna Expo which combines crafts, gastronomy and design.
The Chiang Mai Provincial Administrative Organisation demonstrates a strong commitment to strengthen further educational and cultural institutions to protect and promote the city’s crafts heritage. It has also launched an entrepreneurship programme, the ‘One Sub-District, One Product’ initiative, which aims to support locally produced craft products on the global market. A large number of small-scale producers, including from vulnerable communities, have already bene tted from this programme through marketing and communication capacity- building workshops.","Added Value: As a Creative City of Crafts and Folk Art, Chiang Mai envisages:
encouraging young people to develop skills in crafts and folk art, innovation and creativity;
supporting the distribution of Chiang Mai’s crafts products on the international market to enhance the working conditions and quality of life of small-scale local producers;
organising the Chiang Mai Forum on Crafts and Folk Art; a platform for local and international experts, academics and practitioners to exchange ideas about protecting and promoting traditional skills and practices;
creating opportunities for young artists and entrepreneurs, to exchange and network with international stakeholders notably through the Chiang Mai Design Week; and
strengthening international recognition of Chiang Mai craft products in new markets."
89,"About the Creative City: Tunis has been the country’s capital since the 13th century and is currently home to 638,850 inhabitants. The city stands in an exceptional location at the heart of the Mediterranean and at the crossroads between the major trans-Saharan trade routes, and has established itself as a trade hub and a natural point of exchange with Europe. As a centre of cultural outreach, it is also one of the greatest seats of learning in the Arab world. Granted UNESCO World Heritage status in 1979, the Medina of Tunis is a living testimony to 18th century urban planning and a major hub for craft creation. Around forty souks form a network of little covered alleyways lined with traders’ and artisans’ stores that are grouped by type of craftwork.
The Salon de l'Artisanat [Crafts Fair] in Kram, which is organised each year by the National Handicrafts Office (ONAT), is the most visited exhibition at national level. This major event brings together artisans from all regions of the country and hosted 140,000 visitors in 2017. The Medina Festival, launched in 1982, is also a flagship event that invites a broad public to rediscover through cultural evenings the history of the Medina, and its architectural, musical and craft heritage.
Since 2000, the Municipality and the Association de sauvegarde de la Médina de Tunis - ASM [Association for the Protection of the Tunis Medina] have been committed to an ambitious programme to reclaim slum housing and renovate and restore historic buildings. Between 2008 and 2016, as an ongoing part of this programme, the two institutions have carried out two successive urban rehabilitation operations that sought to revitalise the traditional urban landscape and showcase the façades of several neighbourhoods within the Medina, including the Andalous neighbourhood. Run in close collaboration with residents and artisans, these participatory projects have provided food for thought on how to approach the restoration of old buildings and have helped to promote craft professions, whilst fostering the dissemination of know-how.","Added Value: As a Creative City of Crafts and Folk Art, Tunis envisages:
restoring buildings within the city’s ancient fabric to host craft and folk art associations and a Mediterranean Centre for Applied Arts;
mapping the spaces in which craftworks are sold and produced and conducting an inventory of the crafts and master craftsmen and women of the city in order to make the sector a central feature of the Tunis Development Plan;
organising thematic craft days in the Medina to promote craft professions that are in decline and promote the sharing of new techniques and the perpetuate traditional know-how;
building up international cooperation and exchange of expertise with other Creative Cities through the development of joint projects; and
drawing upon the experience of other Creative Cities to guide the carrying out of reforms in professional training for traditional crafts"
97,"About the Creative City: Areguá is a crafts city located on the shores of Lake Ypacarai and 30 km from Asunción. Although principally renowned for producing pottery, the city also offers a great range of popular arts including music and dance. Home to over 450 pottery workshops, Areguá is regarded as one of the three key pottery cities of Paraguay. Due to its Urban Cultural Heritage, Areguá was recognised as a national Cultural Heritage site in 1997.
 
Areguá endoreses and cultivates its crafts sector through fairs and festivals including the annual Strawberry Fair. This popular event gathers thousands of visitors to celerbate and partake in the strawbarry harvest. Alongside this, The Nativity Crèche Fair is the most representative event of the crafts sector, involving over 200 artisans, and is held during November and December. Together both events support the economy, not only through employment opportunities, but financially, generating nearly $US 500,000 for the local community.
 
In recent years, the Municipality has actively supported the local creative industry through a number of initiatives including The Revitalization of the Central Walkway Project in which arts and crafts were used to improve the urban outlook of the city. Many restorations and building projects have also been conducted with the aim of developing creative spaces for local artists and craftsmen. The restoration of the Senator building in 2015, and the creation of the Cultural Space of the “Heroes of the Chaco Square” are now hotspots for artists and tourists, offering great space and freedom for artistic activities.","Added Value: As a Creative City of Crafts and Folk Art, Areguá envisages:
contributing to achieving the objectives of the Creative Cities Network, adding its commitment to support popular arts and crafts;
strengthening the creativity and the cultural industries by promoting them through its development plan;
cooperating with the Network at the international level, providing opportunites for knoweldge transfer, opening its doors to the enriching exchange; and
driving policies which support culture, research and training, with the aim of encourageing the city's creative economy, recognizing creativity as a driver of change and sustainable development."
102,"About the Creative City: Founded in 1539, Ayacucho is one of the most ancient and prominent colonial cities of Peru. Known as the “Capital City of Folk Art and Peruvian Craftsmanship”, this Andean city is a meeting point between cultural diversity and art creativity which has allowed the development of 16 craft types, inlcuding retablo, tapestry, Huamanga stone carving, pottery, textiles and embroidery. Approximately 30 crafts companies were identified in the city, generating estimated annual sales of US $ 1 million.
 
Support for local crafts and folk art is engrained within the heart of the city. Festivities, such as the Easter and Carnival, bring together the creative fields including music, cinema, theatre and dance, as expressions that, in synergy with folk art, convey the identity of a whole region at a national and international level. Other events hosted by the city, including the First Regional Meeting of Craftsmen in 2019, aim to strengthen and promote growth within the industry by analyzing craftsmen’s law and experience-based tourism.
 
With the aim of fostering participatory processes in the regional handicraft sector, the Municipal Government organized a Symposium on “Issues of the Handicraft Activity in the Ayacucho Region and Proposed Solution”. This event lead to the creation of a folk art museum, interpretation centres and an earmarked budget for project development. Other organizations, including DIRCETUR and the Decentralized Directorate of Ayacucho, support local artists by hosting events, including the Regional Contest of Contextualized Innovation in Crafts Production, and granting Identity and Culture Medals and diplomas of recognition to folk artists.","Added Value: As a Creative City of Crafts and Folk Art, Ayacucho envisages:
improving the handicraft sector and its incorporation to the local, national and international markets;
creating an exhibition, commercialization and dissemination space for crafts in the Belen neighbourhood of the city;
teaching folk art at schools for the promotion and transmission of craft knowledge;
recovering the cultural heritage of the historic centre with the Inter-American Development Bank financing and using this space for promoting culture;
organizing workshops with artists and designers from other creative cities; and
establishing a partnership with the Folk Art and Tourism School of the Universidad de San Cristóbal de Huamanga to provide interships to youth."
104,"About the Creative City: Jinju is a city in southeast of the Republic of Korea with a population of 360,000 and is recognized as one of country’s leading cities of arts and culture. In the crafts field, three items of Gyeongnam Intangible Cultural Heritage are included namely: wooden furniture-making, ornamental knife-making and metal crafts, as well as Jinju’s silk industry, which has 1,000 years of history. Jinju has 185 manufacturers practicing traditional crafts and 54 enterprises in the silk industry. As of 2017, the crafts and folk art field accounted for about 1.5% of the local economy. The total sales of related compxanies are about US$ 76 million, of which US$ 34 million is for crafts and folk arts
and US$ 42 million for silk. In addition, the economic effect of local festivals amounts to US$ 16 million.
 
Based on these cultural assets, Jinju has developed its creative tourism industry by holding over 10 art and crafts festivals every year, including the Jinju Namgang Yudeung Festival, Jinju Mask Dance and Drama Festival, and Jinju Silk Fair. In order to encourage artists’ creative activities in the crafts and folk art sector and to contribute to the cultural diversity mission of the UCCN, Jinju has initiated a World Crafts and Folk Arts Biennale. A preliminary event, the World Folk Arts Gala Show, was held in 2018 and the first biennale was held in May 2019, focusing mainly on folk arts. However, for the 2021 biennale, crafts and folk arts are forseen to be the central attraction.
 
As part of its grassroots culture policy, since 2017 Jinju has offered “dutbegy” dance and sword dance classes to its inhabitants. The city has also been supporting Saturday Performances at Jinjuseong Fortress since 2007 to promote the city’s folk-based performing arts industry. Many citizens and tourists have visited the fortress to enjoy these performances. Furthermore, Jinju provided a total of US$ 4.7 million to open the Jinju Woodcraft Training Center in order to support the popularization of traditional crafts and support its practitioners.","Added Value: As a Creative City of Crafts and Folk Art, Jinju envisages:
 
achieving sustainable urban development by presenting a creative city model based on folk arts and performing arts industries;
promoting cultural diversity by hosting Jinju World Crafts and Folk Arts Biennale, thereby introducing crafts and folk art from developing countries to the international stage;
realizing an urban-rural balanced creative city model by reducing cultural gaps between urban and rural areas, to strengthen the cultural rights of marginalized groups and promote social inclusion;
promoting cooperation and exchange among the Creative Cities by publishing an international magazine highlighting crafts and folk art sector; and
encouraging the development of new industries based on cooperation between crafts and folk art."
113,"About the Creative City: Srinagar is known for its unique handicrafts and handloom products. Since the 14th century the city has become known for its rich arts and crafts tradition and heritage. Presently, the artisan base of the city is tens of thousands of craftspeople strong across a large number of crafts disciplines. This enables the city to have a flourishing arts and crafts market with a large number of direct links between the artisans and provide venues to showcase their products. Handicrafts have developed into an essential local source of income generation, economic growth and social connection, contributing significantly to the city’s overall development. The handicraft sector has particularly demonstrated its importance in local community well-being, as well as in the sector’s capability of generating employment opportunities for the local population, by means of enhanced marketing and promotion initiatives. In addition, working with all different stakeholders in arts and crafts, the further strengthening of educational and cultural institutions to protect and promote the city’s crafts heritage and creativity will be important.","Added Value: As a Creative City of Crafts and Folk Art, the following steps will be important:
 Taking action, to contribute to improving the local living environment and working infrastructure for the creative field concerned;
 Integrating a special focus on local craftspeople for sustainable development;
 Encouraging different groups notably young people and, women and vulnerable groups to develop their skills in crafts and folk art;
 Promoting knowledge exchange, innovation and information dissemination in the creative field of crafts."
